date,language,text
2005-11-24,nob,"Og eiendomsskatt i forhold til næringsvirksomhet i landbruket er en mye mer usosial skatteordning enn en formuesskatt, hvor en tross alt får fradrag for gjeldsrenter."
2001-11-27,nno,Derfor er distriktspolitikk og næringslivspolitikk to sider av same sak.
2010-12-08,nno,Det mest oppsiktsvekkjande er likevel at statsråd Meltveit Kleppa er komfortabel med ikkje å ha eit mål for ruteplanen.
2003-04-29,nob,Og da er jeg opptatt av å spørre:
2014-06-10,nno,Me i Framstegspartiet meiner at busetnad i Distrikts-Noreg og -regionar ikkje fyrst og fremst kan sikrast gjennom offentlege arbeidsplassar og ein serie offentlege tilskot.
2008-02-13,nob,"All den tid Høyre også bidrar til å skape flertall for de forslag som kommer bl.a. når det gjelder ressurser til Kripos, synes jeg faktisk at vi skal stå sammen om å si utad:"
2012-05-31,nob,Det motsatte er feil bruk av offentlige ressurser.
2011-10-04,nno,"Men det er i alle fall litt krevjande å be Kina og Russland – eller for den sakas skuld Ghana, som sette i produksjon sitt første oljefelt i fjor – om at fordi vi i Noreg treng å produsere alt vi har, må dei la vere."
2000-06-15,nno,"Men statsministeren seier at det kostar 3 milliardar norske kroner kvart år å administrere fylkeskommunen – unnateke administrasjon av sjukehus, unnateke administrasjon av dei vidaregåande skulane."
2006-05-22,nob,Vi merker oss også at flertallet blander karakterbasert opptak inn i denne diskusjonen.
2004-03-09,nno,"I forhold til den saka som vi diskuterer i dag, er det nærliggjande å trekkje parallellen til den omfattande utbygginga av straumnettet som starta for fullt for hundre år sidan."
1999-02-03,nob,"Det foregår et tett samarbeid, og jeg vil i nær framtid ha et arbeidsmøte med Utrykningspolitiet, Justisdepartementet, Trygg Trafikk, veimyndighetene og andre for å se på alle sider ved trafikksikkerhetsarbeidet."
2015-04-14,nno,"Dette er ei kjempeutfordring i dagens helseteneste, det at vi ser det er geografiske forskjellar på kor hyppig inngrep vert tatt, spesielt opp mot kirurgiske inngrep, eller konservativ behandling – altså vente-og-sjå."
2007-12-05,nno,"Så ja, eg er oppteken av at vi skal sikre ei god finansieringsordning både for offentlege og private barnehagar i Noreg."
2013-05-07,nob,"Er ikke statsråden redd for, når man nå går enda lenger i å detaljstyre hvordan familiene skal innrette det første leveåret for ungen, at man skaper mer irritasjon og bidrar til å svekke legitimiteten til og oppslutningen om fedrekvoten blant folk flest?"
2000-10-10,nob,"Jeg er også tilfreds med at utenriksministeren nå bekrefter at han vil komme til Stortinget med en redegjørelse, slik at også Stortinget kan få være med og trekke opp en strategi og ha meninger om hvordan denne viktige plassen skal fylles i en selvstendig og aktiv rolle i Sikkerhetsrådet."
2011-11-17,nob,"Videre er vi på 41. plass når det gjelder «Starting a Business», og 48. plass på «Getting Credit»."
2013-06-17,nob,Den er godt forankret i forskning som utgangspunkt for en klinisk god behandling.
2002-02-28,nno,Men vi veit at SV er svært skeptisk til bruk av militære middel for å oppnå politiske mål.
2013-04-23,nno,Til slutt vil eg gje ros til alle frivillige der ute som gjer
2008-11-04,nno,"Det synest eg er litt morosamt, og eg blir litt lykkeleg over at eg kan hjelpa de i å rydda opp i noko de burde rydda opp i sjølve."
2004-03-09,nob,"De valgene jeg kan gjøre, er imidlertid knyttet til hvordan min politiske ledelse i departementet skal være, og jeg kan altså garantere deltakerne i denne debatten at jeg verdsetter den kompetansen og den bredden begge kjønn utgjør, og skal sørge for at det er fullstendig balanse mellom kjønnene i den politiske ledelsen i det departement jeg har ansvaret for."
2002-06-20,nno,"Rett nok har ein kjøpt ein del tenester på kortbanenettet, men elles er det i hovudsak brukarane sjølve som har betalt kostnadene."
2002-12-12,nno,Kleppa gav i innlegget sitt uttrykk for ei rekkje synspunkt og vurderingar som eg kan gi mi tilslutning til.
2003-11-05,nno,"Det gjev eit stort ansvar, og det gjev stor innverknad."
2010-03-25,nob,Vi lettet overgangen fra grunnskole til videregående skole.
2006-12-12,nob,Det går så godt som det ikke før har gjort.
2015-06-04,nob,Dette er en viktig forbedring og forenkling for norske pasienter.
2007-04-17,nno,"Det er ein veldig bra modell; kor spesielt nordisk han er, kan vi diskutere, men vi har iallfall klart å få til ein modell her i landet og i ein del av dei andre landa som gjer at omstilling kan skje fordi det er ein viss tryggleik i systemet, og ein kan få vekst, utvikling, omstilling og tryggleik samtidig."
2005-05-11,nob,Det er et forhold til som jeg vil berøre til slutt.
2008-12-11,nno,Det er slik at det er det politikarar som må avgjere.
2012-06-08,nno,Resultatet av dette blir klart til hausten.
2011-06-01,nno,Eg har lyst til å bruke Martin Kolberg sitt uttrykk:
2012-12-11,nno,Eg trur det er viktig at eigenkontrollen vert sett på den lokale dagsordenen.
2012-03-29,nno,Det blir ei drøfting i kvart enkelt tilfelle korleis dei midlane skal brukast.
2008-11-13,nno,"Dei grepa Regjeringa har gjort, bidreg til eit meir rettferdig skattesystem som dei aller fleste vil komme godt ut av."
2003-04-11,nno,Hovudgrunnen vår for å gå inn for utvidinga er at vi ikkje kan setje oss som overdommar over dei landa som sjølve vil søkje.
2010-01-18,nob,"Jeg kunne også ha snakket en del om forenkling i rapportering, skjema og regelverk, men det vil jeg komme tilbake til i forbindelse med representantforslaget, Dokument 8:15 S, fra Fremskrittspartiet."
2015-01-28,nob,"Men bakgrunnen for dette er jo at man ønsker god kvalitet i barnehagene våre, og det som kanskje er det aller viktigste for å få god kvalitet i barnehagene, er jo nettopp å ha barnehagelærere der ute til å være med ungene, til å følge opp ungene, til å lære ungene ting."
2005-04-20,nno,Det har jo òg ministeren uttalt seg om tidlegare.
2014-12-08,nob,Ofte blir målet å sette i gang tiltak uten å se på innholdet og mulighet for senere å få arbeid.
2000-11-27,nob,Da er jo regningen allerede betalt.
2012-02-08,nno,"Korleis blir føre-var-prinsippet konkret praktisert ved planlegging av kraftlinjer, og kva vurderingar er gjorde i dette området?»"
2013-06-17,nob,"Det vises til andre land, f.eks. til boklovland som Frankrike og Tyskland, som representanten Gjul var innom."
2004-02-06,nno,"Eg håpar folk i Mo i Rana, som om 14 månader får tredobla kraftprisen i sine bedrifter, merkar seg det."
2006-03-07,nob,"Jeg tror dessverre at det ikke er tilstrekkelig at vi informerer gjennom de kanalene som ble nevnt her, bl.a. gjennom en egen Internett-side og at det skulle være en informasjonstelefon."
2001-12-19,nno,"Men det som nyleg har skjedd, er at ein har direkte knust politihovudkvarteret i Gaza, og så kjem ein etterpå og forlanger handling overfor sjølvmordsbombarar."
2005-05-26,nob,"Det samme gjelder behovet for en aktiv seniorpolitikk, som jeg var inne på i mitt innlegg."
1999-05-11,nno,"Eg må fyrst seie meg lei for at eg ikkje klarar å halde det eg sa i fjor, at dokumentet kjem i vår."
2000-03-29,nob,"Den vurderingen jeg har fått via Hordaland politikammer, er at man mener, som man mente da man stanset søket på et tidligere tidspunkt, at sjansene for å finne omkomne er svært små."
2010-10-28,nno,"Det som var viktig for meg å understreka i dag, er at dei 60 kr som det blir referert til i representantframlegget, gjeld korte private reiser."
2007-11-27,nno,Me ser at dette no gjev seg utslag i auka prisar og lønningar.
2010-02-10,nob,"Jeg går nå sammen med Utdanningsdirektoratet igjennom regelverket og vil komme tilbake med endringer i bestemmelsene for fraværsføring på vitnemål, både for grunnskolen og i videregående opplæring, fra høsten"
2002-06-18,nno,"Eg synest likevel at når ein kjem med bastante påstandar om andre parti sin politikk, bør det vera eit minimum av innhald i den kritikken."
2013-11-26,nno,Me fekk ei ny retning òg der.
2010-03-24,nno,"Offentlege vegvisingsskilt har likevel ikkje som hovudformål å marknadsføra verksemder, men skal gjera det lettare å finna fram."
2012-06-13,nob,"Arve Kambe holder innlegg for Gunnar Gundersen, som er ordfører for saken."
2015-12-09,nob,Det er en tradisjon som er godt forankret i den blå-blå politikken.
2015-04-28,nob,Vi må ha en oppriktig og åpen debatt om hva som kommer til å være forpliktelsene – både gjennom EU-systemet og innenlands – og hva vi eventuelt må gjøre gjennom fleksible mekanismer.
2002-11-06,nno,"Eigentleg snakkar vi om gode, gamle dydar som anstendigheit og folkeskikk, som vi heilt tydeleg ser at den russiske staten manglar i si behandling av Tsjetsjenia-spørsmålet."
2002-02-06,nob,De ansatte ble derfor orientert på det tidligst mulige tidspunkt.
2003-01-08,nob,"Å bli gående ledig er sløsing med personlige ressurser, det er sløsing med samfunnets ressurser, og det kan bli et alvorlig sosialt problem."
2005-05-27,nno,"Det gir lite politisk styring, og det gir liten effekt."
2000-06-14,nob,"Og det bør vi gjøre i forhold til også en debatt som har mye preg av å være politiske slagord, slik som den har vært foreløpig i dag."
2006-06-15,nno,"Eg ser at omtrent halvparten av jordbruksoppgjeret er gjeve i form av skattelette, og dersom kursendringa går i retning av at skattelette skal verta hovudverkemiddelet i jordbruksoppgjeret, ser eg at det kan vera ei kursendring."
2011-10-06,nob,Lavere etterspørsel internasjonalt vil helt garantert påvirke oss.
2012-11-21,nno,"Eg anerkjenner poenget til representanten Kambe, at utgiftssida for festivalane ser annleis ut no enn den gjorde i 2007, men ein auke som tilsvarer ei dobling sidan 2007, er ein ganske vesentleg auke på den sida."
2001-05-14,nob,For Arbeiderpartiet er det viktig å ta vare på våre stolte tradisjoner som skipsbygger- og sjøfartsnasjon og sikre denne næringen for fremtiden.
2006-04-06,nno,"Når kanskje 25 000 eldre i Noreg blir utsette for overgrep, og når dei fleste av desse overgrepa skjer i nære relasjonar, er det grunn til å stilla spørsmål om korleis respekten for dei eldre eigentleg blir formidla i vår kultur."
2012-10-17,nob,"Har det kommet klage på det som var tidligere under Truls Fyhn, da man hadde en slik dispensasjon?"
2002-02-13,nno,Eg kan likevel ikkje ta initiativ til å gi tilbake presterettane.
2015-04-30,nob,"Helheten i den avtalen som er inngått nå, inneholder noen punkter om økt rettssikkerhet."
2010-10-22,nno,Bit-for-bit høyrest for meg negativt ut – bortsett frå når ein ser det på tv på fredagskvelden.
2005-03-15,nno,"Når det gjeld oljeboring i Barentshavet, seier vi ja til det, også under visse føresetnader."
2000-11-15,nob,Vi er for øvrig oppmerksom på at NTL og 2fo er to av flere organisasjoner i Luftfartstilsynet.
2012-12-06,nob,"Så disse tallene som legges til grunn for norsk veibygging, holder ikke mål."
2000-04-04,nob,For meg synes dette forslaget om gransking i en meget alvorlig sak mest å være diktert ut fra noen form for bekvemmelighetshensyn av den ene eller annen art – for det er intet i komiteens samlede materiale og potensial for videre arbeid som forhindrer å komme til bunns i denne saken.
2007-11-22,nob,"Det er ingen tvil om, også ut fra hva som ble diskutert bl.a. i FN-systemene, at klimaendringenes betydning for landbruket og matvaresikkerheten nå legger nye premisser for den landbrukspolitiske debatten, globalt og i de enkelte landene."
2012-03-01,nno,"Skulehelsetenesta er veldig sentral i dette arbeidet, men òg innanfor eldreomsorga bør ein få rutinar for å kartleggja og vurdera sjølvmordstankar og sjølvmordsrisiko hos brukarane."
2005-01-19,nno,"Så er det slik at det hender jo at direktoratet blir bedt om å utarbeida planar, og så blir dei ikkje godt nok følgde opp, jf. beinskjørheitsplanen."
2001-12-14,nno,"Men det er etter vårt syn stor forskjell på å innlemma øyremerkte tilskot som er meint å ta vare på generelle tilbod i alle kommunar, og det å innlemma tilskot som er øyremerkte til spesielle tiltak i nokre lokalsamfunn."
2009-03-11,nno,Det kjem eg personleg til å følgje med på.
2000-04-12,nob,Kanskje vil det være mulig å oppnå en tilfredsstillende lønnsomhet på den måten.
2009-10-21,nob,Man har med andre ord gått lenger i denne retningen enn den foregående regjering.
2012-06-12,nno,"Å berre byggja vegar har ein også prøvd i favorittlandet til Ketil Solvik-Olsen, i USA."
2002-12-02,nno,Eg høyrer til dei som er glad i den offentlege skulen.
1999-12-02,nno,"No legg eg til grunn at dei fleste eldre – så langt det er mogleg – ynskjer å bli verande i sitt eige nærmiljø, men samtidig skal det ikkje vera nokon forskjell på unge og eldre når det gjeld høvet til å flytta."
2008-12-17,nno,Desse midlane vert ikkje kravde tilbakebetalt.
2010-03-25,nob,Det er altså sånn systemet virker.
2008-11-27,nno,Både Høgre og Framstegspartiet seier dei er redde for at arbeidsløysa aukar meir enn prognosane seier.
2007-11-29,nob,"Fremskrittspartiet er selvfølgelig glad for det gjennomslaget vi har fått, men vi er enda mer glad på forskningens vegne for at vi nå får en ny vurdering av nedre grense for å utløse gaveforsterkning."
1999-06-14,nno,"Men er ikkje tida no inne for Høgre til å setja slike ideologiske kjepphestar på stallen, i lys av det partiet sjølv uttrykkjer i innstillinga?"
1999-12-07,nno,"Eg er glad for at eldresatsinga blir følgd opp også i statsbudsjettet for neste år, og at komiteen har merknader på det."
2001-03-05,nno,Presidenten vil føreslå – under den klåre føresetnaden at debatten ikkje tek seg opp – at vi forlengjer føremiddagsmøtet til denne saka er ferdig handsama.
2005-03-02,nob,"Når det gjelder tidsperspektivet her, har jeg nettopp bedt om å få en tilbakerapportering pr. 1. juli for da å forstå utfordringene, både de teknologiske, de økonomiske og de tidsmessige."
2003-10-06,nob,"Det er jo det vi ber om å få en debatt om her, for den debatten har ikke eksistert i Norge."
2005-05-31,nno,"Og eg forstår i det heile ikkje, uavhengig av kva ein"
2011-12-08,nno,"Som kjent grunngev regjeringa forslaget med at det var behov for to nye ordningar, to omsyn å ta høgd for, nemleg langsiktigheita i forskingsløyvingane knytt til varierande og lågare rentenivå og manglande pris- og lønskompensasjon."
2004-12-07,nno,"Det andre er at heile denne prosessen skal skje under tilsyn av Jernbanetilsynet, som er fullt ut sjølvstendig."
2009-06-08,nno,"Men dei felta vi no har diskutert, både innretning, informasjonsarbeid, rettar og realkompetansevurdering, er alle spørsmål som vi vil kome tilbake til i samband med kompetansemeldinga."
2008-02-06,nno,Det viser at me satsar massivt både på kollektivtransport og på vegbygging i dette landet.
1999-02-24,nob,"Avgjørelse om registrering tas av påtalemyndigheten i henhold til de foreliggende regler, og på bakgrunn av dette iverksetter politiet tiltak for å innhente og sende nødvendige blodprøver til analysering."
2010-06-15,nob,"I den samme perioden vil regjeringen ta inn 700 mrd. kr fra bilistene gjennom skatter, avgifter og bompenger."
2011-05-11,nob,"Enten det er kollektivsatsing, satsing på fornybar energi, nye byggeforskrifter som stiller veldig strenge krav til energibruk i bygg/boliger, mer satsing på klimaforskning eller mer satsing på miljøteknologi, så er alt dette tiltak som er i gang, iverksatt eller er nær forestående, og som trappes opp."
2006-06-12,nob,Dette vil medvirke til at lovverket som sådant vil bli mer uoversiktlig – det har flere av representantene vært inne på tidligere i dag.
2004-12-17,nno,"Hovudtanken til fleirtalet er at ein i eit nært samarbeid med ulike aktørar i Finnmark skal finna fram til dei beste og mest eigna tiltaka for å utnytta dei store moglegheitene for vekst, nyskaping og nye arbeidsplassar som ligg i dette fylket."
2000-06-14,nob,"Disse uoverensstemmelsene må ikke overskygge det faktum at veterinærene er en yrkesgruppe som har gjort og gjør en svært god jobb i samfunnet, med høy faglig kvalitet og lojalitet overfor både myndigheter og dyreeiere."
2005-04-12,nno,"Men spørsmålet er om fritak for meirverdiavgift ved omsetjing av alternativ energi er, eller kan vere, eit slikt verkemiddel."
2013-06-19,nob,"Der det derimot er et hav av avstand i klimapolitikken, og som vil være avgjørende, er faktisk de sakene som vi har diskutert tidligere i dag, nemlig hvorvidt man er offensiv på å øke oljeutvinningen i Norge eller ikke."
2010-12-06,nob,I tillegg har vi fått en dom i Høyesterett som vil føre til ny prøving av en rekke saker hvor ankebehandling har blitt nektet uten begrunnelse.
1999-01-14,nob,"SV oppfatter forslagene som Høyre har lagt fram nå, som forslag om bruk av feil medisin, tiltak som vi vet ikke virker, og som dermed er symbolpolitikk."
2007-12-11,nno,Desse kommunane har nyleg meldt at dei antek at dei har eit tap på nær 400 mill. kr.
2001-03-07,nob,Det er også derfor vi nå legger stadig større vekt på tiltak innenfor de områdene.
2007-12-17,nno,Eg vil ta avstand frå ei slik verkelegheitsbeskriving.
2001-11-14,nno,Men eg får finne meg i at verdien av offentlegheit rundt og demokratisk styring over fiskeriforvaltninga førebels er ulik for statsråden og meg.
2003-02-11,nob,"Det er også slik at etter dagens lov er det anledning til å opprette klientutvalg, og det er ca. 130 kommuner som allerede også har gjort det."
2005-02-01,nno,Det er i grunnen det eg ynskjer å få bekrefta frå statsråden her i dag:
2002-05-07,nno,Det kan jo også ha noko med retorikken frå denne talarstolen å gjera.
1999-10-20,nno,"Det er heilt opplagt at desentralisert utdanning, både innanfor helse og andre område, er ein svært god måte å rekruttere på for å få ei stabil og varig rekruttering."
2012-02-29,nob,"Det står jeg fast ved, og jeg bekrefter at jeg har sagt det som står i den artikkelen."
2012-12-18,nob,Én gang i året setter vi opp et budsjett og gir bevilgninger til forskjellige formål.
2001-06-08,nob,Det er ett av de områdene vi ser på.
2007-04-26,nob,"Derfor må vi ha hele floraen av tilbud, det gjelder ideelle, private, frivillige, offentlige – alt sammen."
2015-02-11,nob,Den politiske utviklingen i Russland har vært faretruende og vanskelig over lang tid.
2009-05-13,nob,Det er ikke mitt ansvarsområde – bare for å si det.
2002-03-15,nno,Eg konstaterer at statsråden heller ikkje i dag vil vere meir konkret på dette spørsmålet.
2013-06-20,nno,Så har me lagt inn ei opptrapping på 1 mrd. kr årleg i den neste Nasjonal transportplan.
2010-11-30,nob,Jeg har to konkrete spørsmål til statsråden.
2010-06-15,nno,Det er varsla ei opptrapping i planen.
2003-01-15,nno,Så skjedde det i sommar at eg bad dei tenkja seg om igjen.
2011-02-02,nno,Vi er i rute i forhold til det.
2006-06-09,nno,Det er det einaste svaret eg kan gje på det.
2009-12-03,nob,"Videre blir det foreslått at de som måtte tegne seg på talerlisten utover den fordelte taletid, får en taletid på inntil 3 minutter."
2005-04-27,nob,"Hadde vi ikke innført kostnadsdekkende husleie, hadde vi ikke klart å utfase 2 000 000 m2 bygg og anlegg som vi ikke lenger trenger."
2015-10-07,nno,Eg syntest òg det var veldig hyggjeleg å sjå ein budsjettlekkasje då finansministeren sjølv fortalde at dei no avskaffar den tullete ordninga med moms på matvarer som vert gjevne bort – kjempebra!
2008-10-23,nno,Vidare vil presidenten foreslå at det blir gjeve anledning til 5 replikkar med svar etter innlegg frå medlemmer av Regjeringa – innafor den fordelte taletida.
1999-02-23,nob,"Vi mener at fiskerne selv kan avtale pris direkte med kjøperne, slik at markedet på den måten fungerer, og at unødvendige reguleringer blir fjernet."
2002-12-04,nno,Eg synest òg at ein avskriv ein del andre moglegheiter.
2005-12-02,nob,Rammene for budsjettinnstillingen innebærer at Regjeringen viderefører budsjettet på samme nivå som Bondevik II-regjeringen.
2012-04-12,nob,Jeg ønsker bare å prøve å bidra til at debatten nå avsluttes.
1999-12-10,nob,Det typiske med norsk politisk argumentasjon i forhold til u-landenes interesser er at den er selvforherligende og hyklersk.
2011-11-09,nno,Det vert heilt feil om ein
2006-05-04,nno,Og Venstre seier at me skal satsa på småbedriftene.
2009-04-22,nob,Vil det ikke være god forebygging å sette inn statlige midler for å få kommuner til å gjennomføre de tiltakene de selv har kartlagt og påvist?
1999-11-16,nno,"Det vil det òg etter vår meining vera grunn for, slik som vi har utforma endringane i utjamningsmeldinga."
2001-11-14,nob,"Dette er kunstverk som er finansiert med skattebetalernes penger, og når to av 65 bilder mangler, kan man ane hva dimensjonene av forsvunne kunstverk blir av Nasjonalgalleriets beholdning"
2015-12-03,nob,"Vi har mulighetene gjennom avgiftssystemet, men det er muligheter som blir brukt veldig lite, som vi viser at kan brukes på en måte som fungerer, og som vi selvfølgelig også håper at Arbeiderpartiet vil se nøyere på i årene og månedene som kommer."
2007-11-13,nob,"De forskjellige analysene gir ikke et entydig bilde av årsaken, men de forteller oss at det går i gal retning."
2008-11-05,nno,Eg har endra retningslinjene for 2009 på eitt punkt.
2003-05-27,nob,"Videre blir det foreslått at de som måtte tegne seg på talerlisten utover den fordelte taletid, får en taletid på inntil 3 minutter."
2014-11-25,nob,I det nordiske samarbeidet har vi vært opptatt av at den nordiske samarbeidsmodellen skal bli robust og bærekraftig.
2003-01-29,nno,Tenkjer statsråden konkret på at ein kan styrkja desse sårbare distrikta på spesielle måtar?
1999-04-14,nno,Desse informatørane vert kvar vår innbedne til eit orienteringsmøte der Lånekassa gjer greie for regelverket og dei endringane som har funne stad.
2009-02-19,nob,For jeg regner da virkelig ikke med at statsråden vil vente til 1. juni
2011-10-04,nob,Jeg vil til bunns i ett spørsmål som jeg lurer på om Per Arne Olsen kan bidra til å bringe klarhet
2010-03-22,nno,"Det vi no er mest bekymra for, er dei mange tilbakemeldingane som blir gitt om at bruk av innsatsstyrt finansiering og diagnoserelaterte grupper ved feilbruk kan verka inn på faglege prioriteringar."
2010-11-16,nob,"Vi kommer til å legge vekt på et tverrpolitisk samarbeid om å møte denne utfordringen, men forutsetningene er at det samarbeidet hviler på de tre nevnte pilarene."
2011-11-09,nno,"Etter at høyringa er over, vil denne avgjerda i tillegg vera eit av mange grunnlag for prioriteringar i neste Nasjonal transportplan."
2001-06-08,nob,"Det er vel heller en hemsko for SND, som blir for sterkt knyttet til fylkeskommunen og det politiske miljøet der."
2001-02-27,nno,Vi skal glede oss over dette.
2003-04-01,nno,"Vi for vår del legg til grunn den ILO-konvensjonen som Noreg har ratifisert, det grunnlovsvedtaket som er på plass, og den praksisen som elles er etablert."
2010-10-21,nob,"I 2009 var tallet 23,4 pst."
2012-11-20,nno,"Alle landa rundt oss har ein bygningskontroll, og det er ikkje unaturleg at eit land som Noreg med dei erfaringane me har, òg skal ha ein uavhengig kontroll, som ikkje skal detaljkontrollere, som ikkje skal fordjupe seg i enkelttiltak, men som skal sjå til at dei store prosjekta vert bygde på ein god og sikker måte til beste for dei som skal kjøpe bustadene."
1998-12-01,nno,"Mest overraskande er funnet av at barn er negative til foreldra sin bruk av alkohol, og at dei sjølve ikkje ynskjer å bruke alkohol når dei blir vaksne."
2012-05-09,nob,Jeg vet at UNN som arbeidsgiver er veldig opptatt av å få 100 pst. faglært arbeidskraft også på dette området.
2006-03-01,nno,"Det er viktig at ein ikkje berre konsentrerer seg om den indre bykjernen, men at ein òg evnar å sjå dei omkringliggjande kommunane i samanheng, for ikkje minst ut- og innpendling til dei"
2010-06-10,nno,Eg meiner derfor at me bør tenkje på ei eiga ordning for gang- og sykkelvegar.
2003-06-16,nno,"Det er at dei siste fem–seks åra har det vore enorme investeringar i nye båtar som ikkje har noko med einingskvoteordninga å gjere, og som også har gjort at gjelda stig."
2014-02-13,nno,"Stortinget har gjeve, som nyleg, ved handsaminga av Valemon."
1999-02-16,nno,Venstre har tidlegare teke til orde for at ein burde bruka skattegulrot for å få fart på ei teknisk utvikling som gir auka tilgjenge.
2007-05-23,nno,"Det er ei utfordring, og det vil vere krevjande å få til ei forbetring utan sterkare verkemiddel enn ein betre kommuneøkonomi, for eg trur at nokre retningslinjer for dette er viktig."
2015-03-17,nno,"Så eg kunne gjerne ønskt at statsråden klara opp i dette, for viss det ikkje er intensjonen til regjeringa å gjera koordinator til ein individuell rett, kva er då grepet til regjeringa for at fleire helseføretak skal tilby dette?"
2008-06-16,nno,Dei skal ikkje vere til for å rete folk.
2014-06-17,nob,"Hvis vi ser historisk på dette, har dette vært en målsetting i minst 50 år, og selvforsyningsgraden går bare nedover."
2009-02-04,nno,"Utsegna om at Statens vegvesen ikkje ynskjer å føreta målingar utan at farten er sett ned, kjenner Statens vegvesen ikkje opphavet til."
1999-06-09,nno,"Det vil eg gjera i ei stortingsmelding som har overskrifta «Omsorg 2000», som vil bli lagd fram for Stortinget seinhaustes."
2015-12-01,nob,"Er dette en ordning som kan sammenlignes, og vil statsråden eventuelt ta et initiativ til det?"
2005-12-13,nno,Derfor er Kristeleg Folkeparti oppteke av å gi familien betre odds for å lykkast i oppgåva si.
2014-05-07,nob,"Jeg er helt enig med representanten Hansson i at det haster, men det haster vel mer å få konkret politikk for å redusere utslippene."
2009-06-17,nno,Øyremerkte tilskot skal ned; der har eg forstått at Framstegspartiet er betenkt.
